,origin_airport_id,delay_percent,Ranking
200,12899,11.390284757118927,1
112,11525,12.036336109008328,2
306,14582,12.582781456953644,3
156,12129,12.590216519647154,4
215,13127,12.984248616432525,5
318,14709,13.455657492354739,6
107,11468,13.914027149321267,7
55,10779,14.254062038404728,8
32,10558,14.273789649415694,9
277,14113,15.6954487452148,10
54,10754,16.368638239339752,11
52,10739,17.10007880220646,12
122,11630,17.156456953642383,13
302,14543,17.338995046001415,14
139,11921,17.639553429027114,15
256,13873,17.765440666204025,16
218,13184,17.771084337349397,17
176,12343,17.8516228748068,18
41,10631,17.960837272113437,19
53,10747,18.01581325301205,20
83,11122,18.039126478616925,21
106,11447,18.364073777064956,22
307,14588,18.46601235914213,23
127,11695,18.48175965665236,24
350,15074,18.62686567164179,25
374,16218,18.664643399089528,26
329,14828,18.76165609847072,27
300,14520,18.807339449541285,28
186,12492,19.092273068267065,29
8,10158,19.210897134805073,30
201,12902,19.224283305227654,31
202,12915,19.28388746803069,32
194,12888,19.6,33
74,11049,19.60612691466083,34
159,12177,19.606465214335913,35
29,10469,19.665695833860962,36
149,12003,19.73015873015873,37
64,10918,19.739696312364423,38
365,15582,19.767441860465116,39
360,15389,19.808306709265175,40
50,10731,19.825918762088975,41
33,10561,19.870590690878732,42
157,12156,20.0,43
24,10409,20.076481835564053,44
177,12365,20.089858793324776,45
113,11537,20.11288805268109,46
371,15991,20.31900138696255,47
368,15841,20.31900138696255,48
137,11898,20.408163265306122,49
109,11471,20.51282051282051,50
134,11865,20.648783530879598,51
339,14955,20.74074074074074,52
18,10299,20.77310667752443,53
88,11203,20.852402745995423,54
178,12389,20.908561444379732,55
138,11905,20.977011494252874,56
199,12898,20.978704123244224,57
150,12007,21.035892776010904,58
165,12244,21.057646498332538,59
181,12402,21.124250769479993,60
290,14288,21.20717781402936,61
126,11648,21.247947454844006,62
262,13970,21.25,63
232,13344,21.35922330097087,64
189,12523,21.36205542466061,65
319,14711,21.43009377664109,66
98,11315,21.439628482972136,67
347,15041,21.46219883688729,68
39,10620,21.48148148148148,69
191,12758,21.576967119254046,70
287,14256,21.76022176022176,71
142,11977,21.85009258513807,72
188,12519,21.855983772819474,73
11,10185,22.023720162137817,74
35,10577,22.24,75
152,12016,22.28236355435273,76
79,11092,22.33940556088207,77
239,13433,22.38377311075211,78
310,14674,22.389195358569527,79
276,14112,22.393949358763564,80
326,14794,22.4046519582692,81
212,13061,22.413793103448278,82
172,12280,22.43533345064227,83
366,15607,22.463768115942027,84
141,11973,22.532164408516454,85
234,13360,22.68427276310603,86
20,10361,22.743177046885936,87
65,10926,22.74618585298197,88
3,10141,22.78820375335121,89
361,15401,22.836245428687526,90
115,11577,22.907138596142374,91
