op_unique_carrier,avg_delay,avg_carrier_delay,total_flights,avg_delay_if_del,avg_carrier_delay_if_del,delayed_flights,percent_delayed
9E,3.78825376833048,20.5449199312404,502191,50.8994566162709,20.5449199312404,143729,28.62
9K,-1.41389728096677,26.7702702702703,1661,20.5080459770115,26.7702702702703,435,26.19
AA,6.20912791038777,21.5460572346771,1862100,38.4958588032466,21.5460572346771,686758,36.88
AS,0.458070929415826,13.7865306721125,510406,28.1922391096553,13.7865306721125,178897,35.05
AX,15.6141083728361,25.2026166293682,159005,58.2887633095478,25.2026166293682,62643,39.4
B6,11.3289058768938,24.8266802195045,600928,51.1495618551285,24.8266802195045,237935,39.59
C5,23.2972264054973,19.6064091045223,105840,64.494028071203,19.6064091045223,47807,45.17
CP,5.75292040063258,26.4362724258141,190901,43.4842186176388,26.4362724258141,63746,33.39
DL,0.464917266347182,23.4552798213828,1939694,36.6080883457889,23.4552798213828,545674,28.13
EM,6.43923773820681,13.7231145251397,17021,30.9215120935448,13.7231145251397,6243,36.68
EV,11.4602180918349,27.3176557366056,335976,54.1865176735858,27.3176557366056,120632,35.9
F9,11.2941488682438,19.1907410124725,255388,48.2499263272969,19.1907410124725,105195,41.19
G4,8.94875147143537,26.3263583652857,201464,42.958868391891,26.3263583652857,76705,38.07
G7,8.64522308438409,25.4005774840745,168004,59.6539566565824,25.4005774840745,52557,31.28
HA,0.747958866063305,27.3709013016971,167601,17.7105488544715,27.3709013016971,56044,33.44
KS,17.3620949510173,22.2796442687747,3197,39.0936708860759,22.2796442687747,1580,49.42
MQ,6.19253778652698,14.6848800630776,622370,37.4635988396039,14.6848800630776,223372,35.89
NK,5.13504346434857,14.3478932401807,380654,43.2801143490088,14.3478932401807,122782,32.26
OH,7.45728919502942,17.9703940019481,565886,38.7976407747508,17.9703940019481,209306,36.99
OO,7.1555290563033,27.6651323088544,1609494,48.2524476540838,27.6651323088544,529793,32.92
PT,4.44292418376164,14.3262123477889,220237,38.7466044611307,14.3262123477889,72448,32.9
QX,2.05628727957839,12.41007950411,234963,23.4325290649492,12.41007950411,84466,35.95
UA,7.03103949183786,16.0609460640241,1246563,44.4719931526391,16.0609460640241,438125,35.15
VX,1.7279776132455,15.4328488372093,17566,32.3437993057747,15.4328488372093,6338,36.08
WN,3.54997553748894,16.7402904800601,2713963,29.1933684801822,16.7402904800601,970215,35.75
YV,9.6820033833388,26.1754882441109,441771,45.6289186782808,26.1754882441109,160609,36.36
YX,3.9466176212438,14.3339924440667,644591,41.2764150943396,14.3339924440667,206700,32.07
ZW,7.34772244312951,23.1227282870106,208050,55.1107976878613,23.1227282870106,64875,31.18
