tail_num,build,age
8805,2009,11
8809,2009,11
N101HQ,2007,13
N102HQ,2007,13
N103HQ,2007,13
N104HQ,2007,13
N105HQ,2007,13
N106HQ,2007,13
N107HQ,2007,13
N108HQ,2007,13
N109HQ,2007,13
N110HQ,2007,13
N111HQ,2007,13
N112HQ,2007,13
N113HQ,2007,13
N114HQ,2007,13
N115HQ,2007,13
N116HQ,2007,13
N117HQ,2007,13
N118HQ,2007,13
N119HQ,2007,13
N120HQ,2007,13
N121HQ,2007,13
N122HQ,2007,13
N123HQ,2007,13
N124HQ,2007,13
N125HQ,2007,13
N126HQ,2008,12
N127HQ,2008,12
N128HQ,2008,12
N129HQ,2008,12
N130HQ,2008,12
N131HQ,2008,12
N132HQ,2008,12
N133HQ,2008,12
N134HQ,2008,12
N135HQ,2008,12
N136HQ,2008,12
N137HQ,2008,12
N138HQ,2008,12
N201JQ,2008,12
N202JQ,2008,12
N203JQ,2008,12
N204JQ,2008,12
N205JQ,2008,12
N206JQ,2008,12
N207JQ,2008,12
N208JQ,2008,12
N209JQ,2008,12
N210JQ,2008,12
N211JQ,2008,12
N212JQ,2008,12
N213JQ,2008,12
N214JQ,2008,12
N215JQ,2009,11
N216JQ,2009,11
N233JQ,2008,12
N235JQ,2008,12
N236JQ,2008,12
N239JQ,2008,12
N240JQ,2008,12
N241JQ,2008,12
N242JQ,2008,12
N243JQ,2008,12
N244JQ,2008,12
N245JQ,2008,12
N246JQ,2008,12
N357FC,2004,16
N401YX,2013,7
N402YX,2013,7
N403YX,2013,7
N404YX,2013,7
N405YX,2013,7
N406YX,2013,7
N407YX,2013,7
N408YX,2013,7
N409YX,2013,7
N410YX,2013,7
N411YX,2013,7
N412YX,2013,7
N413YX,2013,7
N414YX,2013,7
N415YX,2013,7
N416YX,2013,7
N417YX,2013,7
N418YX,2013,7
N419YX,2013,7
N420YX,2014,6
N421YX,2014,6
N422YX,2014,6
N423YX,2014,6
N424YX,2014,6
N425YX,2014,6
N426YX,2014,6
N427YX,2014,6
N428YX,2014,6
N429YX,2014,6
N430YX,2014,6
N431YX,2014,6
N432YX,2009,11
N433YX,2014,6
N434YX,2014,6
N435YX,2014,6
N436YX,2014,6
N437YX,2014,6
N438YX,2014,6
N439YX,2014,6
N440YX,2014,6
N441YX,2014,6
N442YX,2015,5
N443YX,2015,5
N444YX,2015,5
N445YX,2015,5
N446YX,2015,5
N447YX,2015,5
N631RW,2004,16
N632RW,2004,16
N633RW,2004,16
N634RW,2004,16
N635RW,2004,16
N636RW,2004,16
N637RW,2004,16
N638RW,2004,16
N639RW,2004,16
N640RW,2004,16
N641RW,2004,16
N642RW,2004,16
N643RW,2005,15
N644RW,2004,16
N645RW,2005,15
N646RW,2005,15
N647RW,2005,15
N648RW,2005,15
N649RW,2005,15
N650RW,2005,15
N651RW,2005,15
N652RW,2005,15
N653RW,2005,15
N654RW,2005,15
N655RW,2005,15
N656RW,2005,15
N656YX,2009,11
N657RW,2005,15
N684RW,2009,11
N721YX,2015,5
N722YX,2015,5
N723YX,2015,5
N724YX,2015,5
N725YX,2015,5
N726YX,2015,5
N727YX,2015,5
N728YX,2015,5
N729YX,2015,5
N730YX,2015,5
N731YX,2015,5
N732YX,2015,5
N733YX,2016,4
N736YX,2016,4
N739YX,2016,4
N740YX,2016,4
N741YX,2017,3
N742YX,2017,3
N743YX,2017,3
N744YX,2017,3
N745YX,2017,3
N746YX,2017,3
N747YX,2017,3
N748YX,2017,3
N749YX,2009,11
N750YX,2017,3
N751YX,2017,3
N752YX,2017,3
N806MD,2004,16
N809MD,2004,16
N810MD,2004,16
N815MD,2004,16
N818MD,2009,11
N821MD,2004,16
N823MD,2005,15
N824MD,2005,15
N826MD,2005,15
N855RW,2005,15
N856RW,2005,15
N857RW,2005,15
N858RW,2005,15
N859RW,2005,15
N860RW,2005,15
N861RW,2005,15
N862RW,2005,15
N863RW,2005,15
N864RW,2006,14
N865RW,2006,14
